region,time,spei_true,spei_pred_persistence
SADC,2006-01-01,-0.1320720613002777,-0.48402389883995056
SADC,2006-02-01,0.11488351225852966,-0.1320720613002777
SADC,2006-03-01,0.2343132048845291,0.11488351225852966
SADC,2006-04-01,0.4223184585571289,0.2343132048845291
SADC,2006-05-01,0.40818658471107483,0.4223184585571289
SADC,2006-06-01,0.3535658121109009,0.40818658471107483
SADC,2006-07-01,-0.10465027391910553,0.3535658121109009
SADC,2006-08-01,-0.2408742755651474,-0.10465027391910553
SADC,2006-09-01,-0.16087722778320312,-0.2408742755651474
SADC,2006-10-01,0.09647758305072784,-0.16087722778320312
SADC,2006-11-01,0.2452021986246109,0.09647758305072784
SADC,2006-12-01,0.26437345147132874,0.2452021986246109
SADC,2007-01-01,0.1445465385913849,0.26437345147132874
SADC,2007-02-01,-0.3066994547843933,0.1445465385913849
SADC,2007-03-01,-0.551679790019989,-0.3066994547843933
SADC,2007-04-01,-0.6067048907279968,-0.551679790019989
SADC,2007-05-01,-0.46120351552963257,-0.6067048907279968
SADC,2007-06-01,-0.29981765151023865,-0.46120351552963257
SADC,2007-07-01,-0.5010349750518799,-0.29981765151023865
SADC,2007-08-01,-0.27123764157295227,-0.5010349750518799
SADC,2007-09-01,-0.42366114258766174,-0.27123764157295227
SADC,2007-10-01,-0.01568114012479782,-0.42366114258766174
SADC,2007-11-01,0.11321118474006653,-0.01568114012479782
SADC,2007-12-01,0.3749757707118988,0.11321118474006653
SADC,2008-01-01,0.46698805689811707,0.3749757707118988
SADC,2008-02-01,0.3307277262210846,0.46698805689811707
SADC,2008-03-01,0.19096170365810394,0.3307277262210846
SADC,2008-04-01,-0.299841970205307,0.19096170365810394
SADC,2008-05-01,-0.29175594449043274,-0.299841970205307
SADC,2008-06-01,-0.4431260824203491,-0.29175594449043274
SADC,2008-07-01,-0.375530481338501,-0.4431260824203491
SADC,2008-08-01,-0.5313075184822083,-0.375530481338501
SADC,2008-09-01,-0.6904348731040955,-0.5313075184822083
SADC,2008-10-01,-0.6257105469703674,-0.6904348731040955
SADC,2008-11-01,-0.2737208902835846,-0.6257105469703674
SADC,2008-12-01,-0.2300538271665573,-0.2737208902835846
